frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.0,6.5,6.25,432000,46117,59841,0.0078111688330818555,88998,885012,19.190580480083266,0.9115076869700978,1.006078132056109
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.5,7.0,6.75,432000,46117,59841,0.0078111688330818555,131260,1016272,22.036819394149664,0.917861092438797,1.2722409743533503
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.0,7.5,7.25,432000,46117,59841,0.0078111688330818555,286748,1303020,28.25465663421298,0.9328664050133356,2.4093247567570653
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.5,8.0,7.75,432000,46117,59841,0.0078111688330818555,255116,1558136,33.78658629138929,0.9434048181798469,1.875973663793575
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.0,8.5,8.25,432000,46117,59841,0.0078111688330818555,218755,1776891,38.53006483509335,0.9494546479606218,1.4195811919398007
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.5,9.0,8.75,432000,46117,59841,0.0078111688330818555,209256,1986147,43.06756727454084,0.9541383871457381,1.207220809367371
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.0,9.5,9.25,432000,46117,59841,0.0078111688330818555,250229,2236376,48.493527332653905,0.9589739141748163,1.2917887609285765
38,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.5,10.0,9.75,432000,46117,59841,0.0078111688330818555,416834,2653210,57.5321464969534,0.9651104798664267,1.936875904878741
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.0,0.5,0.25,432000,59841,46117,0.006019746880487223,0,0,0.0,0.0,0.0
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.5,1.0,0.75,432000,59841,46117,0.006019746880487223,0,0,0.0,0.0,0.0
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.0,1.5,1.25,432000,59841,46117,0.006019746880487223,0,0,0.0,0.0,0.0
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.5,2.0,1.75,432000,59841,46117,0.006019746880487223,0,0,0.0,0.0,0.0
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.0,2.5,2.25,432000,59841,46117,0.006019746880487223,476,476,0.007954412526528634,0.0,0.04137151479785215
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.5,3.0,2.75,432000,59841,46117,0.006019746880487223,142485,142961,2.3890142210190337,0.4223358566868869,8.301413737286216
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.0,3.5,3.25,432000,59841,46117,0.006019746880487223,76154,219115,3.6616199595594994,0.8852960344914023,3.1791667209166548
38,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.5,4.0,3.75,432000,59841,46117,0.006019746880487223,41763,260878,4.359519393058271,0.9048645577446901,1.3101749406129068
